event_id,trigger,required_parameters,spatial_mode,layers,variations,concurrency_group,cooldown_ms,priority,bus,music_duck,vfx,camera_response,accessibility_alternative,qa_note
shot_charge,local stone enters aim charge,"charge_0_1;character_id",nonspatial,"low tension loop;character texture",3,charge_local,0,medium,SFX,none,"power ring contraction;face tension",none,visible power meter,"seamless loop;stop within one frame of release or cancel"
shot_release,authoritative shot accepted,"power;spin;character_id;position",hybrid,"snap;short whoosh;rare signature",6,shot_release,40,high,SFX,"-1.5 dB at 1-4 kHz for 80 ms","2-3 frame squash;direction streak","T1 directional impulse",high-contrast release flash,"onset within one rendered frame of visible motion"
stone_hit,authoritative stone collision,"impulse;relative_velocity;glancing_angle;material_pair;character_id",3d,"material transient;body;conditional low end;rare signature",8,stone_collision,25,critical,SFX,"T2 -1 dB 60 ms;T3 -3 dB 100 ms","tier ring;directional fragments","T2 small impulse;T3 strong impulse under 100 ms",tiered contact ring and subtitle icon,"no immediate repeat;blend tiers near thresholds"
board_slide,stone moving on board,"speed;material;position",3d,"filtered friction loop",4,slide_per_stone,0,low,Ambience,none,"micro dust at high speed",none,motion streak at high speed,"must not mask collision transients"
rim_scrape,stone contacts playable rim,"speed;danger_ratio;position",3d,"scrape;short tension tone",5,rim_per_stone,80,high,SFX,"-1 dB at 1-4 kHz for 80 ms","edge light travel",T1 edge-directed impulse,high-contrast edge pulse,"recognizable without looking;no hidden trajectory info"
near_edge,support ratio crosses danger threshold,"support_ratio;owner;stone_id",nonspatial,"short pulse;character breath",4,danger_local,300,high,UI,none,"danger outline;face tension",none,shape-coded danger outline,"trigger only from visible support state"
ring_out,server confirms elimination,"owner;position;fall_depth;decisive;event_uuid",hybrid,"edge release;fall whoosh;delayed confirmation;crowd accent",6,ring_out,150,critical,SFX,"-4 dB at 1-4 kHz for 180 ms","edge wave;downward trail","250-400 ms follow then immediate board return",centered confirmation icon plus subtitle,"dedupe by event_uuid;never replay after correction"
fall_voice,server confirms character elimination,"character_id;fall_depth;mood;event_uuid",hybrid,"cute nonverbal scream;distance filter;comic rescue pop",12,fall_voice,300,high,Voice,"duck ambience 2 dB;never mask decisive hit","face panic;downward tail;small rescue sparkle","follow character 250-400 ms then center reinforce",subtitle icon and optional localized caption,"one per eliminated character;stagger multi-falls 60-90 ms;max three full screams"
bonus_turn,opponent elimination grants another shot,"local_or_remote;chain_count;event_uuid",nonspatial,"rising two-note sting;short character cheer",4,bonus_turn,200,critical,UI,"duck music 2 dB for 120 ms","bonus-shot emblem;active ring stays lit",none,shape-coded persistent icon and text label,"trigger after ring-out confirmation;dedupe by event_uuid"
multi_hit,combo count increments,"combo_count;time_since_previous",nonspatial,"short rising percussion accent",5,combo_ui,90,medium,UI,none,"small combo count pulse",none,text and rhythm pulse,"remain clear through ten contacts without clipping"
turn_handoff,server changes active player,"local_or_remote;remaining_ms",nonspatial,"ceramic tap;team motif",4,turn_ui,100,high,UI,none,"active team ring moves",none,team shape and text label,"must remain intelligible with music and voice muted"
invalid_action,client or server rejects action,"reason_code;control_id",nonspatial,"soft two-note thunk",4,ui_error,150,high,UI,none,"affected control only shakes",none,text reason and control highlight,"explanatory rather than punitive;never hide reason"
match_point,first transition to either side having one stone,"owner;remaining_count;event_uuid",nonspatial,"five-note motif variation;music stem enable",2,match_state,1000,high,Music,"state transition only","subtle exposure change;match-point label",none,text label and persistent state icon,"trigger once per state entry and dedupe by event_uuid"
match_result,server confirms result,"result;reason;era;event_uuid",nonspatial,"era sting;character reaction;crowd",3,result,2000,critical,Music,"sidechain music bed by -5 dB for sting","victory or defeat pose;era light response","optional 5-8 percent short zoom",full result text and reduced-motion pose,"do not delay continue button;dedupe by event_uuid"
